month,division,line,day_type,num_sched_trains,num_actual_trains,service delivered
2024-08-01,A DIVISION,1,1,1848,1763,95.4004
2024-08-01,A DIVISION,1,2,1296,1249,96.3735
2024-08-01,A DIVISION,2,2,1881,1799,95.6406
2024-08-01,A DIVISION,2,1,2441,2239,91.7247
2024-08-01,A DIVISION,3,1,2266,2148,94.7926
2024-08-01,A DIVISION,3,2,1439,1407,97.7762
2024-08-01,A DIVISION,4,1,3036,2881,94.8946
2024-08-01,A DIVISION,4,2,2145,2103,98.042
2024-08-01,A DIVISION,5,1,2836,2553,90.0212
2024-08-01,A DIVISION,5,2,864,851,98.4954
2024-08-01,A DIVISION,6,1,2258,2122,93.977
2024-08-01,A DIVISION,6,2,1253,1218,97.2067
2024-08-01,A DIVISION,7,1,2948,2764,93.7585
2024-08-01,A DIVISION,7,2,1360,1326,97.5
2024-08-01,A DIVISION,S 42nd,1,2121,1906,89.8633
2024-08-01,A DIVISION,S 42nd,2,1656,1590,96.0145
2024-08-01,B DIVISION,A,1,2824,2687,95.1487
2024-08-01,B DIVISION,A,2,1624,1546,95.197
2024-08-01,B DIVISION,B,1,1867,1741,93.2512
2024-08-01,B DIVISION,C,1,1672,1542,92.2249
2024-08-01,B DIVISION,C,2,1360,1293,95.0735
2024-08-01,B DIVISION,D,2,1440,1390,96.5278
2024-08-01,B DIVISION,D,1,2090,1955,93.5407
2024-08-01,B DIVISION,E,2,719,689,95.8275
2024-08-01,B DIVISION,E,1,1716,1619,94.3473
2024-08-01,B DIVISION,F,2,1440,1319,91.5972
2024-08-01,B DIVISION,F,1,3190,3010,94.3574
2024-08-01,B DIVISION,G,2,852,847,99.4131
2024-08-01,B DIVISION,G,1,308,303,98.3766
2024-08-01,B DIVISION,JZ,2,756,763,100.9259
2024-08-01,B DIVISION,JZ,1,1166,1121,96.1407
2024-08-01,B DIVISION,L,2,1827,1769,96.8254
2024-08-01,B DIVISION,L,1,2111,2032,96.2577
2024-08-01,B DIVISION,M,2,780,770,98.7179
2024-08-01,B DIVISION,M,1,2002,1896,94.7053
2024-08-01,B DIVISION,N,2,1440,1382,95.9722
2024-08-01,B DIVISION,N,1,2002,1890,94.4056
2024-08-01,B DIVISION,Q,2,1929,1883,97.6153
2024-08-01,B DIVISION,Q,1,2258,2140,94.7741
2024-08-01,B DIVISION,R,2,1320,1285,97.3485
2024-08-01,B DIVISION,R,1,2266,2117,93.4245
2024-08-01,B DIVISION,S Fkln,1,792,793,100.1263
2024-08-01,B DIVISION,S Fkln,2,448,448,100
2024-08-01,B DIVISION,S Rock,1,462,446,96.5368
2024-08-01,B DIVISION,S Rock,2,517,511,98.8395
2024-08-01,B DIVISION,W,2,94,83,88.2979
2024-08-01,B DIVISION,W,1,858,788,91.8415
2024-08-01,Systemwide,Systemwide,1,47338,44456,93.9119
2024-08-01,Systemwide,Systemwide,2,28440,27521,96.7686
2024-07-01,A DIVISION,1,1,1848,1738,94.047619
2024-07-01,A DIVISION,1,2,959,948,98.8529718
2024-07-01,A DIVISION,2,1,2439,2284,93.6449364
2024-07-01,A DIVISION,2,2,1270,1213,95.511811
2024-07-01,A DIVISION,3,1,2266,2116,93.380406
2024-07-01,A DIVISION,3,2,1280,1241,96.953125
2024-07-01,A DIVISION,4,1,3036,2876,94.7299078
2024-07-01,A DIVISION,4,2,1904,1791,94.0651261
2024-07-01,A DIVISION,5,1,2836,2633,92.842031
2024-07-01,A DIVISION,5,2,768,736,95.8333333
2024-07-01,A DIVISION,6,1,2264,2135,94.3021201
2024-07-01,A DIVISION,6,2,956,932,97.4895397
2024-07-01,A DIVISION,7,1,2947,2855,96.8781812
2024-07-01,A DIVISION,7,2,1272,1275,100.2358491
2024-07-01,A DIVISION,S 42nd,1,2222,2212,99.549955
2024-07-01,A DIVISION,S 42nd,2,1420,1419,99.9295775
2024-07-01,B DIVISION,A,2,1528,1403,91.8193717
2024-07-01,B DIVISION,A,1,2838,2653,93.4813249
2024-07-01,B DIVISION,B,1,1783,1605,90.0168256
2024-07-01,B DIVISION,C,1,1597,1443,90.3569192
2024-07-01,B DIVISION,C,2,1279,1108,86.6301798
2024-07-01,B DIVISION,D,1,1995,1822,91.3283208
2024-07-01,B DIVISION,D,2,1280,1212,94.6875
2024-07-01,B DIVISION,E,2,640,624,97.5
2024-07-01,B DIVISION,E,1,1716,1602,93.3566434
2024-07-01,B DIVISION,F,1,3045,2800,91.954023
2024-07-01,B DIVISION,F,2,1280,1151,89.921875
2024-07-01,B DIVISION,G,1,936,913,97.542735
2024-07-01,B DIVISION,G,2,744,737,99.0591398
2024-07-01,B DIVISION,JZ,2,660,660,100
2024-07-01,B DIVISION,JZ,1,1113,1055,94.7888589
2024-07-01,B DIVISION,L,1,2110,1984,94.028436
2024-07-01,B DIVISION,L,2,1596,1534,96.1152882
2024-07-01,B DIVISION,M,1,1911,1776,92.9356358
2024-07-01,B DIVISION,M,2,660,654,99.0909091
2024-07-01,B DIVISION,N,1,1911,1794,93.877551
2024-07-01,B DIVISION,N,2,1280,1196,93.4375
2024-07-01,B DIVISION,Q,1,2163,2013,93.0651872
2024-07-01,B DIVISION,Q,2,1776,1739,97.9166667
2024-07-01,B DIVISION,R,1,2163,1971,91.1234397
2024-07-01,B DIVISION,R,2,1200,1150,95.8333333
2024-07-01,B DIVISION,S Fkln,1,756,754,99.7354497
2024-07-01,B DIVISION,S Fkln,2,528,528,100
2024-07-01,B DIVISION,S Rock,2,452,431,95.3539823
2024-07-01,B DIVISION,S Rock,1,462,461,99.7835498
2024-07-01,B DIVISION,W,1,819,745,90.964591
2024-07-01,Systemwide,Systemwide,1,47176,44240,93.7764965
2024-07-01,Systemwide,Systemwide,2,24732,23682,95.7544881
2024-06-01,A DIVISION,1,1,1680,1591,94.702381
2024-06-01,A DIVISION,1,2,1377,1323,96.0784314
2024-06-01,A DIVISION,2,1,2219,2064,93.0148716
2024-06-01,A DIVISION,2,2,2105,2011,95.5344418
2024-06-01,A DIVISION,3,1,2060,1992,96.6990291
2024-06-01,A DIVISION,3,2,1631,1597,97.9153893
2024-06-01,A DIVISION,4,1,2760,2590,93.8405797
2024-06-01,A DIVISION,4,2,2383,2313,97.0625262
2024-06-01,A DIVISION,5,1,2578,2349,91.1171451
2024-06-01,A DIVISION,5,2,1034,978,94.5841393
2024-06-01,A DIVISION,6,1,2060,1964,95.3398058
2024-06-01,A DIVISION,6,2,1237,1188,96.0388036
2024-06-01,A DIVISION,7,1,2675,2529,94.5420561
2024-06-01,A DIVISION,7,2,1720,1682,97.7906977
2024-06-01,A DIVISION,S 42nd,1,2020,2000,99.009901
2024-06-01,A DIVISION,S 42nd,2,1848,1848,100
2024-06-01,B DIVISION,A,2,1815,1682,92.6721763
2024-06-01,B DIVISION,A,1,2560,2419,94.4921875
2024-06-01,B DIVISION,B,1,1680,1526,90.8333333
2024-06-01,B DIVISION,C,1,1520,1403,92.3026316
2024-06-01,B DIVISION,C,2,1520,1404,92.3684211
2024-06-01,B DIVISION,D,2,1601,1491,93.1292942
2024-06-01,B DIVISION,D,1,1821,1721,94.5085118
2024-06-01,B DIVISION,E,2,800,770,96.25
2024-06-01,B DIVISION,E,1,1560,1460,93.5897436
2024-06-01,B DIVISION,F,1,2900,2771,95.5517241
2024-06-01,B DIVISION,F,2,1600,1461,91.3125
2024-06-01,B DIVISION,G,1,940,899,95.6382979
2024-06-01,B DIVISION,G,2,1990,1943,97.638191
2024-06-01,B DIVISION,JZ,1,1020,977,95.7843137
2024-06-01,B DIVISION,JZ,2,880,851,96.7045455
2024-06-01,B DIVISION,L,1,1919,1878,97.8634706
2024-06-01,B DIVISION,L,2,1144,1076,94.0559441
2024-06-01,B DIVISION,M,1,1800,1638,91
2024-06-01,B DIVISION,M,2,760,714,93.9473684
2024-06-01,B DIVISION,N,1,1820,1745,95.8791209
2024-06-01,B DIVISION,N,2,1441,1361,94.4482998
2024-06-01,B DIVISION,Q,2,2082,1993,95.7252642
2024-06-01,B DIVISION,Q,1,2060,1926,93.4951456
2024-06-01,B DIVISION,R,1,2060,1924,93.3980583
2024-06-01,B DIVISION,R,2,1280,1209,94.453125
2024-06-01,B DIVISION,S Fkln,1,720,716,99.4444444
